course_code,course_name,description,credit,course_level,is_compulsory
ESLEO,English as a Second Language Level 5,"This course provides students with the skills and strategies they need to make the transition to college and university preparation courses in English and other secondary school disciplines. Students will be encouraged to develop independence in a range of academic tasks. They will participate in debates and lead classroom workshops; read and interpret literary works and academic texts; write essays, narratives, and reports; and apply a range of learning strategies and research skills effectively. Students will further develop their ability to respond critically to print and media texts.",1.00,5,FALSE
ESLDO,English as a Second Language Level 4,"This course prepares students to use English with increasing fluency and accuracy in classroom and social situations and to participate in Canadian society as informed citizens. Students will develop the oral-presentation, reading, and writing skills required for success in all school subjects. They will extend listening and speaking skills through participation in discussions and seminars; study and interpret a variety of grade-level texts; write narratives, articles, and summaries in English; and respond critically to a variety of print and media texts.",1.00,4,FALSE
ESLCO,English as a Second Language Level 3,"This course further extends students’ skills in listening, speaking, reading, and writing in English for a variety of everyday and academic purposes. Students will make short classroom oral presentations; read a variety of adapted and original texts in English; and write using a variety of text forms. As well, students will expand their academic vocabulary and their study skills to facilitate their transition to the mainstream school program. This course also introduces students to the rights and responsibilities inherent in Canadian citizenship, and to a variety of current Canadian issues.",1.00,3,FALSE
ESLBO,English as a Second Language Level 2,"This course extends students’ listening, speaking, reading, and writing skills in English for every- day and academic purposes. Students will participate in conversations in structured situations on a variety of familiar and new topics; read a variety of texts designed or adapted for English language learners; expand their knowledge of English grammatical structures and sentence patterns; and link English sentences to compose paragraphs. The course also supports students’ continuing adaptation to the Ontario school system by expanding their knowledge of diversity in their new province and country.",1.00,2,FALSE
ESLAO,English as a Second Language Level 1,"This course builds on students’ previous education and language knowledge to introduce them to the English language and help them adjust to the diversity in their new environment. Students will use beginning English language skills in listening, speaking, reading, and writing for everyday and essential academic purposes. They will engage in short conversations using basic English language structures and simple sentence patterns; read short adapted texts; and write phrases and short sentences. The course also provides students with the knowledge and skills they need to begin to adapt to their new lives in Canada.",1.00,1,FALSE
ENG1D,English,"This course is designed to develop the oral communication, reading, writing, and media literacy skills that students need for success in their secondary school academic programs and in their daily lives. Students will analyse literary texts from contemporary and historical periods, interpret informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on the use of strategies that contribute to effective communication. The course is intended to prepare students for the Grade 10 academic English course, which leads to university or college preparation courses in Grades 11 and 12.  ",1.00,9,TRUE
ENL1W,English,"This course enables students to continue to develop and consolidate the foundational knowledge and skills that they need for reading, writing, and oral and visual communication. Throughout the course, students will continue to enhance their media literacy and critical literacy skills, and to develop and apply transferable skills, including digital literacy. Students will also make connections to their lived experiences and to society and increase their understanding of the importance of language and literacy across the curriculum.",1.00,9,TRUE
ENG1P,English,"This course is designed to develop the key oral communication, reading, writing, and media literacy skills students need for success in secondary school and daily life. Students will read, interpret, and create a variety of informational, literary, and graphic texts. An important focus will be on identifying and using appropriate strategies and processes to improve students’ comprehension of texts and to help them communicate clearly and effectively. The course is intended to prepare students for the Grade 10 applied English course, which leads to college or workplace preparation courses in Grades 11 and 12.",1.00,9,TRUE
ENG2D,English,"This course is designed to extend the range of oral communication, reading, writing, and media literacy skills that students need for success in their secondary school academic programs and in their daily lives. Students will analyse literary texts from contemporary and historical periods, interpret and evaluate informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on the selective use of strategies that contribute to effective communication. This course is intended to prepare students for the compulsory Grade 11 university or college preparation course.",1.00,10,TRUE
ENG2P,English,"This course is designed to extend the range of oral communication, reading, writing, and media literacy skills that students need for success in secondary school and daily life. Students will study and create a variety of informational, literary, and graphic texts. An important focus will be on the consolidation of strategies and processes that help students interpret texts and communicate clearly and effectively. This course is intended to prepare students for the compulsory Grade 11 college or workplace preparation course. ",1.00,10,FALSE
ENG3U,English,"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse challenging literary texts from various periods, countries, and cultures, as well as a range of informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on using language with precision and clarity and incorporating stylistic devices appropriately and effectively. The course is intended to prepare students for the compulsory Grade 12 university or college preparation course.  ",1.00,11,TRUE
ENG3C,English,"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will study the content, form, and style of a variety of informational and graphic texts, as well as literary texts from Canada and other countries, and create oral, written, and media texts in a variety of forms for practical and academic purposes. An important focus will be on using language with precision and clarity. The course is intended to prepare students for the compulsory Grade 12 college preparation course. ",1.00,11,FALSE
ENG3E,English,"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in the workplace and in daily life. Students will study the content, form, and style of a variety of contemporary informational, graphic, and literary texts; and create oral, written, and media texts in a variety of forms for practical purposes. An important focus will be on using language clearly and accurately in a variety of formal and informal contexts. The course is intended to prepare students for the compulsory Grade 12 workplace preparation course.",1.00,11,FALSE
ENG4U,English,"This course emphasizes the consolidation of the literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse a range of challenging literary texts from various periods, countries, and cultures; interpret and evaluate informational and graphic texts; and create oral, written, and media texts in a variety of forms. An important focus will be on using academic language coherently and confidently, selecting the reading strategies best suited to particular texts and particular purposes for reading, and developing greater control in writing. The course is intended to prepare students for university, college, or the workplace. ",1.00,12,TRUE
ENG4C,English,"This course emphasizes the consolidation of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse a variety of informational and graphic texts, as well as literary texts from various countries and cultures, and create oral, written, and media texts in a variety of forms for practical and academic purposes. An important focus will be on using language with precision and clarity and developing greater control in writing. The course is intended to prepare students for college or the workplace.",1.00,12,FALSE
ENG4E,English,"This course emphasizes the consolidation of literacy, communication, and critical and creative thinking skills necessary for success in the workplace and in daily life. Students will analyse informational, graphic, and literary texts and create oral, written, and media texts in a variety of forms for workplace-related and practical purposes. An important focus will be on using language accurately and organizing ideas and information coherently. The course is intended to prepare students for the workplace and active citizenship. ",1.00,12,FALSE
MTH1W,Mathematics,"This course enables students to consolidate, and continue to develop, an understanding of mathematical concepts related to number sense and operations, algebra, measurement, geometry, data, probability, and financial literacy. Students will use mathematical processes, mathematical modelling, and coding to make sense of the mathematics they are learning and to apply their understanding to culturally responsive and relevant real-world situations. Students will continue to enhance their mathematical reasoning skills, including proportional reasoning, spatial reasoning, and algebraic reasoning, as they solve problems and communicate their thinking.",1.00,9,TRUE
MPM1D,Principles of Mathematics,"This course enables students to develop an understanding of mathematical concepts related to algebra,analytic geometry,and measurement and geometry through investigation,the effective use of technology,and abstract reasoning.Students will investigate relationships,which they will then generalize as equations of lines,and will determine the connections between different representations of a linear relation.They will also explore relationships that emerge from the measurement of three-dimensional figures and two-dimensional shapes.Students will reason mathematically and communicate their thinking as they solve multi-step problems.",1.00,9,TRUE
MFM1P,Foundations of Mathematics,"This course enables students to develop an understanding of mathematical concepts related to introductory algebra,proportional reasoning,and measurement and geometry through investigation,the effective use of technology,and hands-on activities.Students will investigate real-life examples to develop various representations of linear relations,and will determine the connections between the representations.They will also explore certain relationships that emerge from the measurement of three-dimensional figures and two-dimensional shapes. Students will consolidate their mathematical skills as they solve problems and communicate their thinking.",1.00,9,FALSE
MPM2D,Principles of Mathematics,"This course enables students to broaden their understanding of relationships and extend their problem-solving and algebraic skills through investigation,the effective use of technology,and abstract reasoning.Students will explore quadratic relations and their applications;solve and apply linear systems;verify properties of geometric figures using analytic geometry;and investigate the trigonometry of right and acute triangles.Students will reason mathematically and communicate their thinking as they solve multi-step problems.",1.00,10,TRUE
MFM2P,Foundations of Mathematics,"This course enables students to consolidate their understanding of linear relations and extend their problem-solving and algebraic skills through investigation,the effective use of technology,and hands-on activities.Students will develop and graph equations in analytic geometry; solve and apply linear systems,using real-life examples;and explore and interpret graphs of quadratic relations.Students will investigate similar triangles,the trigonometry of right triangles,and the measurement of three-dimensional figures.Students will consolidate their mathematical skills as they solve problems and communicate their thinking.",1.00,10,FALSE
MCR3U,Functions,"This course introduces the mathematical concept of the function by extending students’ experiences with linear and quadratic relations. Students will investigate properties of discrete and continuous functions, including trigonometric and exponential functions; represent functions numerically, algebraically, and graphically; solve problems involving applications of functions; investigate inverse functions; and develop facility in determining equivalent algebraic expressions. Students will reason mathematically and communicate their thinking as they solve multi-step problems. ",1.00,11,TRUE
MCF3M,Functions and Applications,"This course introduces basic features of the function by extending students’ experiences with quadratic relations. It focuses on quadratic, trigonometric, and exponential functions and their use in modelling real-world situations. Students will represent functions numerically, graphically, and algebraically; simplify expressions; solve equations; and solve problems relating to applications. Students will reason mathematically and communicate their thinking as they solve multi-step problems",1.00,11,FALSE
MBF3C,Foundations for College Mathematics,"This course enables students to broaden their understanding of mathematics as a problemsolving tool in the real world. Students will extend their understanding of quadratic relations; investigate situations involving exponential growth; solve problems involving compound interest; solve financial problems connected with vehicle ownership; develop their ability to reason by collecting, analysing, and evaluating data involving one variable; connect probability and statistics; and solve problems in geometry and trigonometry. Students will consolidate their mathematicalskills as they solve problems and communicate their thinking.  ",1.00,11,FALSE
MEL3E,Mathematics for Work and Everyday Life,"This course enables students to broaden their understanding of mathematics as it is applied in the workplace and daily life. Students will solve problems associated with earning money, paying taxes, and making purchases; apply calculations of simple and compound interest in saving, investing, and borrowing; and calculate the costs of transportation and travel in a variety of situations. Students will consolidate their mathematical skills as they solve problems and communicate their thinking.",1.00,11,FALSE
MHF4U,Advanced Functions,"This course extends students’ experience with functions. Students will investigate the properties of polynomial, rational, logarithmic, and trigonometric functions; develop techniques for combining functions; broaden their understanding of rates of change; and develop facility in applying these concepts and skills. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. This course is intended both for students taking the Calculus and Vectors course as a prerequisite for a university program and for those wishing to consolidate their understanding of mathematics before proceeding to any one of a variety of university programs. ",1.00,12,FALSE
MDM4U,Data Management,"This course broadens students’ understanding of mathematics as it relates to managing data. Students will apply methods for organizing and analysing large amounts of information; solve problems involving probability and statistics; and carry out a culminating investigation that integrates statistical concepts and skills. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. Students planning to enter university programs in business, the social sciences, and the humanities will find this course of particular interest.",1.00,12,FALSE
MCV4U,Calculus and Vectors,"This course builds on students’ previous experience with functions and their developing understanding of rates of change. Students will solve problems involving geometric and algebraic representations of vectors and representations of lines and planes in threedimensional space; broaden their understanding of rates of change to include the derivatives of polynomial, sinusoidal, exponential, rational, and radical functions; and apply these concepts and skills to the modelling of real-world relationships. Students will also refine their use of the mathematical processes necessary for success in senior mathematics. This course is intended for students who choose to pursue careers in fields such as science, engineering, economics, and some areas of business, including those students who will be required to take a university-level calculus, linear algebra, or physics course. ",1.00,12,FALSE
MCT4C,Mathematics for College Technology,"This course enables students to extend their knowledge of functions. Students will investigate and apply properties of polynomial, exponential, and trigonometric functions; continue to represent functions numerically, graphically, and algebraically; develop facility in simplifying expressions and solving equations; and solve problems that address applications of algebra, trigonometry, vectors, and geometry. Students will reason mathematically and communicate their thinking as they solve multi-step problems. This course prepares students for a variety of college technology programs.",1.00,12,FALSE
MAP4C,Foundations for College Mathematics,"This course enables students to broaden their understanding of real-world applications of mathematics. Students will analyse data using statistical methods; solve problems involving applications of geometry and trigonometry; solve financial problems connected with annuities, budgets, and renting or owning accommodation; simplify expressions; and solve equations. Students will reason mathematically and communicate their thinking as they solve multi-step problems. This course prepares students for college programs in areas such as business, health sciences, and human services, and for certain skilled trades.",1.00,12,FALSE
MEL4E,Mathematics for Work and Everyday Life,"This course enables students to broaden their understanding of mathematics as it is applied in the workplace and daily life. Students will investigate questions involving the use of statistics; apply the concept of probability to solve problems involving familiar situations; investigate accommodation costs, create household budgets, and prepare a personal income tax return; use proportional reasoning; estimate and measure; and apply geometric concepts to create designs. Students will consolidate their mathematical skills as they solve problems and communicate their thinking.",1.00,12,FALSE
CGC1W,Exploring Canadian Geography,"This course builds on learning in Grades 7 and 8 in geography. Students will explore relationships within and between Canada’s natural and human systems and how they interconnect with other parts of the world. Students will also examine environmental and economic issues, and their impact related to topics such as natural resources and industries, careers, land use and responsible development, and sustainability. In addition, students will understand the connections that diverse communities and individuals have with the physical environment and each other throughout Canada, including First Nations, Métis, and Inuit perspectives. Students will apply geographic thinking, use the geographic inquiry process, and use geospatial technologies throughout their investigations.",1.0,9,FALSE
CGC1D,Issues in Canadian  Geography,"This course examines interrelationships within and between Canada’s natural and human systems and how these systems interconnect with those in other parts of the world. Students will explore environmental, economic, and social geographic issues relating to topics such as transportation options, energy choices, and urban development. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate various geographic issues and to develop possible  approaches for making Canada a more sustainable place in which to live.",1.0,9,TRUE
CGC1P,Issues in Canadian  Geography,"This course focuses on current geographic issues that affect Canadians. Students will draw on their personal and everyday experiences as they explore issues relating to food and water supplies, competing land uses, interactions with the natural environment,  and other topics relevant to sustainable living in Canada. They will also develop an awareness that issues that affect their lives in Canada are interconnected with issues in other parts of the world. Throughout the course, students will use the concepts of geographic thinking, the geographic inquiry process, and spatial technologies to guide and support their investigations.",1.0,9,FALSE
CHV2O,Civics and Citizenship,"This course explores rights and responsibilities associated with being an active citizen in a democratic society. Students will explore issues of civic importance and the influence of social media, while developing their understanding of the role of civic engagement and of political processes in the local, national, and/or global community. Students will apply the concepts of political thinking and the political inquiry process to investigate, and express informed opinions about, a range of political issues and developments that are both of significance in today’s world and of personal interest to them. This course also includes learning on digital literacy and critical-thinking skills, the mechanisms of government, Indigenous governance systems and structures, the historical foundations of the rights and freedoms we enjoy in Canada, ways in which government policy affects individuals’ lives and the economy, and ways for students to serve their communities.",0.5,10,TRUE
GLC2O,Career Studies,"This course gives students the opportunity to develop the skills, knowledge, and habits that will support them in their education and career/life planning. Students will learn about global work trends, and seek opportunities within the school and community to expand and strengthen their transferable skills and their ability to adapt to the changing world of work. On the basis of exploration, reflective practice, and decision-making processes, students will make connections between their skills, interests, and values and their postsecondary options, whether in apprenticeship training, college, community living, university, or the workplace. They will set goals and create a plan for their first postsecondary year. As part of their preparation for the future, they will learn about personal financial management – including the variety of saving and borrowing tools available to them and how to use them to their advantage – and develop a budget for their first year after secondary school.",0.5,10,TRUE
CHC2D,Canadian History,"This course explores social, economic, and political developments and events and their impact on the lives of different individuals, groups, and communities, including First Nations, Métis, and Inuit individuals and communities, in Canada since 1914. Students will examine the role of conflict and cooperation in Canadian society, Canada’s evolving role within the global community, and the impact of various individuals, organizations, and events on identities, citizenship, and heritage in Canada. Students will develop an understanding of some of the political developments and government policies that  have had a lasting impact on First Nations, Métis, and Inuit individuals and communities. They will develop their ability to apply the concepts of historical thinking and the  historical inquiry process, including the interpretation and analysis of evidence, when  investigating key issues and events in Canadian history since 1914.",1.00,10,TRUE
CHC2P,Canadian History,"This course focuses on the social context of historical developments and events and how they have affected the lives of people in Canada, including First Nations, Métis, and Inuit individuals and communities, since 1914. Students will explore interactions between various communities in Canada as well as contributions of individuals and groups to heritage and identities in Canada. Students will develop an understanding of some key political developments and government policies that have had an impact on First Nations, Métis, and Inuit individuals and communities. They will develop their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating the continuing relevance of historical developments and how they have helped shape communities in present-day Canada. ",1.00,10,FALSE
CIE3M,The Individual and the Economy,"This course explores issues and challenges facing the Canadian economy as well as the implications of various responses to them. Students will explore the economic role of f irms, workers, and government as well as their own role as individual consumers and contributors, and how all of these roles contribute to stability and change in the Canadian economy. Students will apply the concepts of economic thinking and the economic inquiry process, including economic models, to investigate the impact of economic issues and  decisions at the individual, regional, and national level.",1.00,11,FALSE
